,county,station,temp
500,Galway,ATHENRY,12.5
501,Galway,ATHENRY,13.2
502,Galway,ATHENRY,13.2
503,Galway,ATHENRY,12.9
504,Galway,ATHENRY,12.5
505,Galway,ATHENRY,12.6
506,Galway,ATHENRY,12.3
507,Galway,ATHENRY,12.5
508,Galway,ATHENRY,12.6
509,Galway,ATHENRY,13.0
510,Galway,ATHENRY,12.6
511,Galway,ATHENRY,12.9
512,Galway,ATHENRY,13.2
513,Galway,ATHENRY,12.9
514,Galway,ATHENRY,13.1
515,Galway,ATHENRY,13.6
516,Galway,ATHENRY,12.9
517,Galway,ATHENRY,13.0
518,Galway,ATHENRY,13.9
519,Galway,ATHENRY,13.2
520,Galway,ATHENRY,13.0
521,Galway,ATHENRY,12.7
522,Galway,ATHENRY,12.4
523,Galway,ATHENRY,12.2
524,Galway,ATHENRY,12.4
525,Galway,ATHENRY,12.2
526,Galway,ATHENRY,12.4
527,Galway,ATHENRY,12.5
528,Galway,ATHENRY,12.4
529,Galway,ATHENRY,12.3
530,Galway,ATHENRY,12.3
531,Galway,ATHENRY,11.9
532,Galway,ATHENRY,11.7
533,Galway,ATHENRY,11.7
534,Galway,ATHENRY,11.8
535,Galway,ATHENRY,11.4
536,Galway,ATHENRY,11.9
537,Galway,ATHENRY,12.4
538,Galway,ATHENRY,12.7
539,Galway,ATHENRY,13.0
540,Galway,ATHENRY,13.6
541,Galway,ATHENRY,14.4
542,Galway,ATHENRY,13.6
543,Galway,ATHENRY,13.2
544,Galway,ATHENRY,13.2
545,Galway,ATHENRY,12.5
546,Galway,ATHENRY,12.2
547,Galway,ATHENRY,12.1
548,Galway,ATHENRY,12.0
549,Galway,ATHENRY,12.0
550,Galway,ATHENRY,11.9
551,Galway,ATHENRY,12.2
552,Galway,ATHENRY,11.9
553,Galway,ATHENRY,11.9
554,Galway,ATHENRY,11.7
555,Galway,ATHENRY,11.7
556,Galway,ATHENRY,11.4
557,Galway,ATHENRY,11.4
558,Galway,ATHENRY,11.6
559,Galway,ATHENRY,12.3
560,Galway,ATHENRY,13.1
561,Galway,ATHENRY,14.2
562,Galway,ATHENRY,14.8
563,Galway,ATHENRY,14.9
564,Galway,ATHENRY,15.4
565,Galway,ATHENRY,16.1
566,Galway,ATHENRY,17.2
567,Galway,ATHENRY,16.5
568,Galway,ATHENRY,16.2
569,Galway,ATHENRY,16.3
570,Galway,ATHENRY,14.2
571,Galway,ATHENRY,13.7
572,Galway,ATHENRY,13.1
573,Galway,ATHENRY,12.5
574,Galway,ATHENRY,12.1
575,Galway,ATHENRY,11.6
576,Galway,ATHENRY,11.4
577,Galway,ATHENRY,11.4
578,Galway,ATHENRY,11.3
579,Galway,ATHENRY,11.1
580,Galway,ATHENRY,10.9
581,Galway,ATHENRY,11.0
582,Galway,ATHENRY,11.2
583,Galway,ATHENRY,12.1
584,Galway,ATHENRY,13.4
585,Galway,ATHENRY,13.9
586,Galway,ATHENRY,15.5
587,Galway,ATHENRY,15.2
588,Galway,ATHENRY,15.3
589,Galway,ATHENRY,16.4
590,Galway,ATHENRY,15.3
591,Galway,ATHENRY,15.8
592,Galway,ATHENRY,15.9
593,Galway,ATHENRY,15.7
594,Galway,ATHENRY,13.9
595,Galway,ATHENRY,13.0
596,Galway,ATHENRY,12.4
597,Galway,ATHENRY,11.3
598,Galway,ATHENRY,11.1
599,Galway,ATHENRY,11.3
600,Galway,ATHENRY,11.2
601,Galway,ATHENRY,11.2
602,Galway,ATHENRY,11.0
603,Galway,ATHENRY,10.8
604,Galway,ATHENRY,10.7
605,Galway,ATHENRY,10.9
606,Galway,ATHENRY,11.5
607,Galway,ATHENRY,12.7
608,Galway,ATHENRY,13.4
609,Galway,ATHENRY,13.8
610,Galway,ATHENRY,14.7
611,Galway,ATHENRY,14.5
612,Galway,ATHENRY,14.4
613,Galway,ATHENRY,14.8
614,Galway,ATHENRY,15.1
615,Galway,ATHENRY,15.5
616,Galway,ATHENRY,15.2
617,Galway,ATHENRY,15.1
618,Galway,ATHENRY,14.3
619,Galway,ATHENRY,13.2
620,Galway,ATHENRY,12.3
621,Galway,ATHENRY,11.0
622,Galway,ATHENRY,9.2
623,Galway,ATHENRY,8.4
624,Galway,ATHENRY,7.3
625,Galway,ATHENRY,5.6
626,Galway,ATHENRY,5.9
627,Galway,ATHENRY,6.2
628,Galway,ATHENRY,6.1
629,Galway,ATHENRY,7.2
630,Galway,ATHENRY,10.1
631,Galway,ATHENRY,13.0
